Study_ID,Study,DOI,Year,Dimensao,Dimensao_Label,Proxy,n_T,m_T,sd_T,n_C,m_C,sd_C,Tipo_Intervencao,Regiao,Tipo_Comunidade,NOS,Tier,lnRR,vi,sigma_conv
18,Nord A.,10.1002/ldr.3582,2020,V3,Status de Documentação,Agricultural productivity by soil management,30,,,30,,,,,,,T3,-0.223144,0.307403,0.35
18,Nord A.,10.1002/ldr.3582,2020,V4,Vulnerabilidade Jurídica e Fundiária,Soil degradation documentation accuracy,30,,,30,,,,,,,T3,-0.916291,0.076851,0.35
18,Nord A.,10.1002/ldr.3582,2020,V5,Organização Social e Governança,Soil fertility score by farmer perception group,30,,,30,,,,,,,T3,-0.223144,0.307403,0.35
20,Sibanda M.,10.1186/s40066-025-00573-w,2025,V1,Erosão Intergeracional e Migração,Plant species recognized (seed custodianship),30,,,30,,,,,,,T3,-0.916291,0.076851,0.35
21,Tabe-Ojong M.P.,10.1002/ldr.4569,2023,V1,Erosão Intergeracional e Migração,Agrobiodiversity index / species richness,30,,,30,,,,,,,T2a,-0.486026,0.038405,0.15
21,Tabe-Ojong M.P.,10.1002/ldr.4569,2023,V2,Complexidade e Singularidade Biocultural,Intergenerational knowledge transfer indicator,30,,,30,,,,,,,T2a,-0.222363,0.008039,0.15
21,Tabe-Ojong M.P.,10.1002/ldr.4569,2023,V2,Complexidade e Singularidade Biocultural,Cultural complexity / social network indicator,30,,,30,,,,,,,T2a,0.0,0.007618,0.15
21,Tabe-Ojong M.P.,10.1002/ldr.4569,2023,V3,Status de Documentação,Food security / dietary diversity indicator,30,,,30,,,,,,,T2a,-0.544239,0.048156,0.15
21,Tabe-Ojong M.P.,10.1002/ldr.4569,2023,V4,Vulnerabilidade Jurídica e Fundiária,Documentation status / knowledge formalization,30,,,30,,,,,,,T2a,-0.894178,0.129993,0.15
21,Tabe-Ojong M.P.,10.1002/ldr.4569,2023,V5,Organização Social e Governança,External pressure / land use change indicator,30,,,30,,,,,,,T2a,-0.432896,0.030468,0.15
22,Aniah P.,10.1016/j.heliyon.2019.e01492,2019,V1,Erosão Intergeracional e Migração,Agrobiodiversity index / species richness,30,,,30,,,,,,,T2b,0.369843,0.039027,0.25
22,Aniah P.,10.1016/j.heliyon.2019.e01492,2019,V2,Complexidade e Singularidade Biocultural,Intergenerational knowledge transfer indicator,30,,,30,,,,,,,T2b,0.169208,0.008169,0.25
22,Aniah P.,10.1016/j.heliyon.2019.e01492,2019,V2,Complexidade e Singularidade Biocultural,Cultural complexity / social network indicator,30,,,30,,,,,,,T2b,0.169208,0.008169,0.25
22,Aniah P.,10.1016/j.heliyon.2019.e01492,2019,V3,Status de Documentação,Livelihood diversity index,30,,,30,,,,,,,T2b,0.414141,0.048936,0.25
22,Aniah P.,10.1016/j.heliyon.2019.e01492,2019,V4,Vulnerabilidade Jurídica e Fundiária,Documentation status / knowledge formalization,30,,,30,,,,,,,T2b,0.680428,0.132098,0.25
22,Aniah P.,10.1016/j.heliyon.2019.e01492,2019,V5,Organização Social e Governança,Climate change perception indicator,30,,,30,,,,,,,T2b,0.329413,0.030961,0.25
25,Alemayehu A.,10.1016/j.envdev.2023.100908,2023,V1,Erosão Intergeracional e Migração,Agrobiodiversidade,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
25,Alemayehu A.,10.1016/j.envdev.2023.100908,2023,V2,Complexidade e Singularidade Biocultural,Transmissao Intergeracional,30,,,30,,,,,,,T4,0.470004,2.053921,0.5
25,Alemayehu A.,10.1016/j.envdev.2023.100908,2023,V2,Complexidade e Singularidade Biocultural,Complexidade Cultural,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
25,Alemayehu A.,10.1016/j.envdev.2023.100908,2023,V3,Status de Documentação,Seguranca Alimentar,30,,,30,,,,,,,T4,0.182322,1.15533,0.5
25,Alemayehu A.,10.1016/j.envdev.2023.100908,2023,V4,Vulnerabilidade Jurídica e Fundiária,Status de Documentacao,30,,,30,,,,,,,T4,-0.223144,0.51348,0.5
